Id,SalePrice
1461,169486.65602003448
1462,178518.38053479974
1463,182105.2301785574
1464,183043.42721279123
1465,196956.4902550639
1466,183402.87787871948
1467,180125.25271427014
1468,180422.52345311668
1469,182971.3316086842
1470,172793.92438323013
1471,185784.27983698982
1472,164922.93086336608
1473,165059.96933488452
1474,184462.1750105358
1475,174862.65426894647
1476,212913.7109705055
1477,207604.5329635244
1478,205917.67029358045
1479,213074.50494778945
1480,220815.6486591229
1481,221780.9354437778
1482,193337.2351545978
1483,178342.11755354292
1484,180279.62599646207
1485,181497.8451178677
1486,184861.28297682694
1487,213834.0315357358
1488,201147.25391751764
1489,182822.12685047608
1490,182794.13386618532
1491,184190.43355043355
1492,165962.30758535166
1493,181580.66498527958
1494,219055.7732000295
1495,211385.17128880083
1496,184748.38345661078
1497,184451.28854716077
1498,178374.71517907357
1499,178368.5470698211
1500,171809.05440965106
1501,180037.96603914848
1502,178548.9488787515
1503,204987.2137354427
1504,196878.62899330832
1505,189152.1030677049
1506,187645.5115305751
1507,191262.62511342257
1508,189082.18975798483
1509,182018.9464461573
1510,172023.99735846143
1511,172211.39886494062
1512,180953.9410778185
1513,179566.50812560975
1514,184020.25378404645
1515,187719.17648392008
1516,179865.0959329381
1517,171071.50387749818
1518,175902.32128389325
1519,189974.04503165136
1520,170347.90512193882
1521,171056.83514047455
1522,182826.07125409498
1523,167163.31612852358
1524,167464.34194204846
1525,167181.80341961308
1526,168680.6800904529
1527,166436.12253195746
1528,171259.10422896923
1529,171664.98906721946
1530,180207.05646190312
1531,177370.57356284847
1532,165288.37969748094
1533,173549.44562105063
1534,165778.622687972
1535,177440.6259613093
1536,167726.99484580345
1537,168093.10819157987
1538,191120.7831362644
1539,201761.5282547223
1540,176641.9487672332
1541,176180.45563227232
1542,176115.95909856065
1543,189695.46544188348
1544,161975.95762288375
1545,163138.30292190867
1546,167365.60314321448
1547,172291.04022453356
1548,171270.1841112381
1549,166090.12078939588
1550,174788.87999536665
1551,173384.00675805076
1552,177426.60061320322
1553,172854.0929277539
1554,166087.6688464007
1555,180460.22947028445
1556,162112.36315302545
1557,173134.70169655606
1558,163407.80190972408
1559,170434.9905272951
1560,179170.36597863608
1561,186376.63136646303
1562,167117.00024375375
1563,167064.08059983214
1564,176521.5110626687
1565,175864.16141998666
1566,192791.4209636675
1567,164490.33292623982
1568,191943.3271533993
1569,174518.49543559755
1570,168685.53308363594
1571,172840.7291318141
1572,171057.5932020228
1573,189302.90618160024
1574,173820.3862661607
1575,189061.12381499622
1576,190029.84902740328
1577,181559.64797878478
1578,178756.75181922322
1579,169764.8022826289
1580,188727.268797544
1581,169134.95799004083
1582,173268.82399496395
1583,213331.94893220338
1584,195002.0404808966
1585,169844.1087090601
1586,162836.96819501565
1587,166026.8830484161
1588,175278.08900099155
1589,164667.8181151123
1590,174965.2912084135
1591,165314.58865393142
1592,172275.37226279307
1593,167839.8997603983
1594,175640.21808701957
1595,172393.50039500464
1596,194193.5702958972
1597,184487.3211157827
1598,184713.52534321317
1599,188971.90274333963
1600,191531.94864660047
1601,161610.2551465843
1602,165251.8485012352
1603,163318.57021803004
1604,194463.27324764908
1605,201877.00216119303
1606,181159.68008153085
1607,187213.17389718254
1608,189860.11724618459
1609,181217.8526206476
1610,175133.93276286568
1611,172047.7290614907
1612,176118.85310782446
1613,177429.351373159
1614,167120.4877290983
1615,163246.29734770206
